"station_id","song"
"radiozurnal","CHRIS REA - AUBERGE"
"radiozurnal","WESTLIFE - MANDY"
"radiozurnal","KRISTINA - HOREHRONIE"
"radiozurnal","MARLON ROUDETTE - WHEN THE BEAT DROPS OUT"
"radiozurnal","WET WET WET - LOVE IS ALL AROUND"
"radiozurnal","MURRAY HEAD - ONE NIGHT IN BANGKOK"
"radiozurnal","MADONNA - FROZEN"
"radiozurnal","SOULSISTER - THE WAY TO YOUR HEART"
"radiozurnal","TATA BOJS - TANEČNICE"
"radiozurnal","ALL SAINTS - NEVER EVER"
"radiozurnal","LOST FREQUENCIES,  JANIECK DEVY - REALITY"
"radiozurnal","CORRS - SO YOUNG"
"radiozurnal","CHINASKI - DROBNÁ PARALELA"
"radiozurnal","BEATLES - I FEEL FINE"
"radiozurnal","CELINE DION - MY HEART WILL GO ON"
"radiozurnal","MARKÉTA IRGLOVÁ, GLEN HANSARD - FALLING SLOWLY"
"radiozurnal","SARAH BRIGHTMAN - EDEN"
"radiozurnal","CHRIS NORMAN - SOME HEARTS ARE DIAMONDS"
"radiozurnal","SNOW PATROL - CHASING CARS"
"radiozurnal","MICHAEL JACKSON - YOU ARE NOT ALONE"
"radiozurnal","LENE MARLIN - SITTING DOWN HERE"
"radiozurnal","PINK FLOYD - WISH YOU WERE HERE"
"radiozurnal","BUTY - FRANTIŠEK"
"radiozurnal","BONNIE TYLER - TOTAL ECLIPSE OF THE HEART"
"radiozurnal","DONNA LEWIS - I COULD BE THE ONE"
"radiozurnal","RED HOT CHILI PEPPERS - SCAR TISSUE"
"radiozurnal","CRANBERRIES - ANIMAL INSTINCT"
"radiozurnal","MAREK ZTRACENÝ - O PRAVDĚ"
"radiozurnal","POLICE - EVERY BREATH YOU TAKE"
"radiozurnal","THOM ARTWAY - I HAVE NO INSPIRATION"
"radiozurnal","ANNA K. - NELÍTÁM NÍZKO"
"radiozurnal","U 2 - PRIDE ( IN THE NAME OF LOVE)"
"radiozurnal","MŇÁGA A ŽĎORP - NEJLÍP JIM BYLO"
