"person_id","data","first_name","last_name","age","member_party","nominate_party","dist_no","party_no","party_name","list_no","titles","abs_votes","pct_votes","rank","mandate","municipality_id","highest_title","gender","row_id","approx_birth_year","occupation","residence","name"
70106,"municipal_1994","Jan","Kindlman",40,"KSČM","KSČM",NA,2,"Sdružení KSČM, NK",2,"",286,7.74,3,TRUE,571911,"No title","Male",70106,1954,NA,NA,NA
70106,"municipal_1998","Jan","Kindlman",44,"KSČM","KSČM",NA,1,"Sdružení KSČM, NK",2,"",212,7.79,3,TRUE,571911,"No title","Male",84985,1954,NA,NA,NA
70106,"municipal_2002","Jan","Kindlman",48,"KSČM","KSČM",NA,3,"Sdružení KSČM a NK",2,"",226,8.52,3,TRUE,571911,"No title","Male",91134,1954,NA,NA,NA
70106,"municipal_2006","Jan","Kindlman",52,"KSČM","KSČM",NA,NA,"
Sdružení KSČM, NK
",1,"",222,9.3,3,TRUE,571911,"No title","Male",38624,1954,"podnikatel","Nasavrky",NA
70106,"municipal_2010","Jan","Kindlman",56,"KSČM","KSČM",NA,NA,"
Komunistická str.Čech a Moravy
",1,"",217,10.73,1,TRUE,571911,"No title","Male",46886,1954,"podnikatel","Nasavrky","Kindlman Jan"
70106,"municipal_2014","Jan","Kindlman",60,"KSČM","KSČM",NA,NA,"
Sdružení KSČM, NK
",2,"",200,11.14,1,TRUE,571911,"No title","Male",44736,1954,"podnikatel","Nasavrky","Kindlman Jan"
70106,"municipal_2018","Jan","Kindlman",64,"KSČM","KSČM",1,47,"Komunistická strana Čech a Moravy",3,"",0,0,NA,FALSE,571911,"No title","Male",119792,1954,NA,NA,"Kindlman Jan"
289619,"municipal_2002","Marie","Klapková",61,"BEZPP","KDU-ČSL",NA,4,"Koalice KDU-ČSL, US-DEU",10,"",125,6.15,7,FALSE,571911,"No title","Female",91157,1941,NA,NA,NA
195949,"municipal_1998","Oldřich","Kliment",39,"BEZPP","ODS",NA,5,"Občanská demokratická strana",9,"",165,5.35,5,FALSE,571911,"No title","Male",85038,1959,NA,NA,NA
195949,"municipal_2002","Oldřich","Kliment",43,"BEZPP","ODS",NA,2,"Občanská demokratická strana",9,"",194,5.28,4,FALSE,571911,"No title","Male",91126,1959,NA,NA,NA
195949,"municipal_2006","Oldřich","Kliment",47,"BEZPP","ODS",NA,NA,"
Občanská demokratická strana
",13,"",218,5.68,7,FALSE,571911,"No title","Male",38621,1959,"podnikatel","Nasavrky",NA
